T1,T2,time_taken_t1,time_taken_t2,edit_distance_t1,edit_distance_t2
8,8,0.0001,0.0000,0,0
8,16,0.0002,0.0001,1,8
8,32,0.0003,0.0001,2,24
8,64,0.0007,0.0001,3,56
8,128,0.0013,0.0002,4,120
8,256,0.0026,0.0002,5,248
8,512,0.0051,0.0004,6,504
8,1024,0.0103,0.0008,7,1016
16,16,0.0003,0.0001,0,0
16,32,0.0007,0.0002,1,16
16,64,0.0013,0.0002,2,48
16,128,0.0026,0.0003,3,112
16,256,0.0051,0.0003,4,240
16,512,0.0100,0.0005,5,496
16,1024,0.0216,0.0009,6,1008
32,32,0.0013,0.0006,0,0
32,64,0.0026,0.0006,1,32
32,128,0.0053,0.0008,2,96
32,256,0.0097,0.0008,3,224
32,512,0.0195,0.0010,4,480
32,1024,0.0388,0.0013,5,992
64,64,0.0049,0.0023,0,0
64,128,0.0097,0.0025,1,64
64,256,0.0194,0.0026,2,192
64,512,0.0390,0.0028,3,448
64,1024,0.0766,0.0031,4,960
128,128,0.0194,0.0097,0,0
128,256,0.0386,0.0104,1,128
128,512,0.0772,0.0103,2,384
128,1024,0.1537,0.0107,3,896
256,256,0.0776,0.0407,0,0
256,512,0.1562,0.0424,1,256
256,1024,0.3046,0.0427,2,768
512,512,0.3063,0.1734,0,0
512,1024,0.6120,0.1778,1,512
1024,1024,1.2316,0.7442,0,0
